Game,Sample_score,Sample_reward,MeanScore,Mean_reward,Record
100,4,-9.9,5.34,-8.813556,19
200,4,-9.65,5.21,-9.207514,44
300,6,-9.9,5.1,-9.316707,44
400,6,-10.4,5.105,-9.370033,44
500,4,-10.7,5.546,-9.2908125,44
600,14,-6.95,5.45,-9.282887,44
700,44,-7.9,5.474285714285714,-9.328149,44
800,4,-9.9,5.3475,-9.380657,44
900,4,-10.7,5.363333333333333,-9.366984,44
1000,4,-10.95,5.327,-9.396319,44
1100,6,-9.9,5.28,-9.404693,44
1200,3,-9.35,5.315,-9.379927,46
1300,4,-10.45,5.314615384615385,-9.381012,46
1400,4,-10.45,5.317142857142857,-9.378303,46
1500,13,-8.9,5.324,-9.379482,46
1600,4,-10.4,5.313125,-9.367365,46
1700,3,-10.4,5.291176470588235,-9.359525,46
1800,1,-9.45,5.362777777777778,-9.352339,46
1900,4,-9.9,5.399473684210526,-9.347881,46
2000,2,-10.4,5.424,-9.3681,46
2100,14,-8.45,5.417142857142857,-9.354131,46
2200,4,-10.95,5.389090909090909,-9.353465,46
2300,4,-10.9,5.410434782608696,-9.344293,46
2400,13,-8.9,5.383333333333334,-9.350494,46
2500,2,-9.95,5.4228,-9.351975,46
2600,6,-9.9,5.403076923076923,-9.345567,46
2700,4,-10.4,5.38,-9.34637,46
2800,4,-9.85,5.380714285714285,-9.350908,46
2900,14,-6.9,5.371724137931034,-9.353762,46
3000,4,-10.45,5.346,-9.366627,46
3100,14,-7.9,5.339354838709677,-9.370581,46
3200,6,-10.4,5.326875,-9.367433,46
3300,3,-9.95,5.340606060606061,-9.375066,46
3400,6,-9.9,5.378823529411765,-9.375609,46
3500,1,-9.9,5.354857142857143,-9.384833,46
3600,4,-10.4,5.3502777777777775,-9.383047,46
3700,4,-9.9,5.338648648648649,-9.383267,46
3800,4,-10.4,5.3384210526315785,-9.378248,46
3900,4,-10.9,5.343589743589743,-9.376649,46
4000,4,-10.4,5.3405,-9.371767,46
4100,14,-7.4,5.329268292682927,-9.369471,46
4200,6,-9.9,5.332857142857143,-9.378174,46
4300,4,-10.4,5.329069767441861,-9.38249,46
4400,4,-9.9,5.327727272727273,-9.374959,46
4500,4,-10.95,5.328666666666667,-9.371269,46
4600,14,-10.8,5.331739130434783,-9.367888,46
4700,2,-9.9,5.3214893617021275,-9.364693,46
4800,4,-10.9,5.308125,-9.360432,46
4900,4,-10.95,5.2877551020408164,-9.366189,46
5000,14,-8.9,5.2746,-9.364355,46
5100,3,-10.4,5.271372549019608,-9.363019,46
5200,4,-10.4,5.287115384615385,-9.357745,46
5300,3,-9.45,5.308490566037736,-9.352644,46
5400,4,-10.4,5.316481481481482,-9.351048,46
5500,4,-10.45,5.327272727272727,-9.352347,46
5600,3,-9.9,5.316071428571429,-9.355248,46
5700,4,-11.4,5.321228070175438,-9.358354,49
5800,4,-10.4,5.331551724137931,-9.363633,49
5900,4,-9.9,5.328305084745763,-9.36292,49
6000,4,-10.4,5.3265,-9.361442,49
6100,4,-10.4,5.351475409836065,-9.364425,49
6200,4,-10.2,5.362741935483871,-9.36258,49
6300,4,-11.0,5.353809523809524,-9.3643875,49
6400,6,-10.95,5.355625,-9.359337,49
6500,3,-10.9,5.353230769230769,-9.356953,49
6600,3,-10.45,5.3565151515151515,-9.353102,49
6700,2,-9.4,5.353880597014926,-9.35237,49
6800,14,-8.9,5.353970588235294,-9.349392,49
6900,4,-11.4,5.35536231884058,-9.351358,49
7000,16,-8.5,5.343714285714285,-9.350568,49
7100,4,-10.9,5.335915492957747,-9.352335,49
7200,3,-10.4,5.3425,-9.346825,49
7300,4,-10.4,5.352602739726027,-9.3424,49
7400,14,-8.4,5.356756756756757,-9.343043,49
7500,4,-11.0,5.346933333333333,-9.345004,49
7600,1,-9.95,5.358684210526316,-9.341648,49
7700,4,-9.4,5.36012987012987,-9.33638,49
7800,3,-9.9,5.363205128205128,-9.331666,49
7900,4,-10.95,5.363797468354431,-9.332442,49
8000,4,-9.4,5.364375,-9.330874,49
8100,4,-10.9,5.372345679012346,-9.331075,49
8200,3,-10.45,5.3792682926829265,-9.324709,49
8300,4,-10.9,5.390120481927711,-9.324992,49
8400,14,-7.9,5.395238095238096,-9.328633,49
