Game,Sample_score,Sample_reward,MeanScore,Mean_reward,Record
100,2,-5.4,5.28,-4.511997,19
100,2,-4.95,4.73,-4.1459966,43
200,4,-3.9,5.265,-4.336302,46
300,2,-5.45,5.183333333333334,-4.22004,46
400,4,-5.4,5.12,-4.240513,46
500,4,-5.4,5.082,-4.280982,46
600,4,-4.9,5.036666666666667,-4.253814,46
700,4,-5.4,4.962857142857143,-4.289843,46
800,4,-4.95,4.99375,-4.295112,46
900,4,-5.4,4.992222222222222,-4.297324,46
1000,4,-4.7,4.947,-4.2973766,46
1100,16,-3.9,4.970909090909091,-4.3090897,46
1200,4,-5.4,4.9475,-4.2988496,46
1300,3,-5.9,5.009230769230769,-4.2979927,46
1400,4,-5.4,5.012142857142857,-4.2934346,46
1500,4,-5.9,5.023333333333333,-4.291021,46
1600,14,-3.95,5.118125,-4.289815,96
